ID	FIRST	PREV	AVG	MIN	MAX	STDEV
21981	0.0321	0.0243	0.0274	0.0000	0.1464	0.0439
1091	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1121	0.0668	0.0668	0.0668	0.0668	0.0668	0.0000
1191	0.2015	0.0933	0.1474	0.0933	0.2015	0.0765
310	0.0096	0.0341	0.0332	0.0096	0.0558	0.0231
1341	0.0267	0.0000	0.0912	0.0000	0.3032	0.1421
7441	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7781	0.0020	0.0020	0.0020	0.0020	0.0020	0.0000
2930	0.1364	0.0000	0.0682	0.0000	0.1364	0.0965
3680	0.1043	0.1087	0.0710	0.0000	0.1087	0.0615
4200	0.0932	0.0001	0.0281	0.0000	0.0932	0.0443
4290	0.0256	0.0225	0.0190	0.0000	0.0470	0.0198
4660	0.2874	0.1444	0.1295	0.0025	0.2874	0.1018
4670	0.2720	0.2632	0.1345	0.0501	0.2720	0.0940
4700	0.1196	0.1361	0.0735	0.0015	0.1552	0.0581
8011	0.0829	0.0511	0.0669	0.0017	0.1332	0.0407
2490	0.1034	0.2205	0.1008	0.0299	0.2205	0.0658
2660	0.0211	0.1140	0.0563	0.0001	0.2563	0.0749
3540	0.0466	0.2123	0.0589	0.0000	0.2123	0.0648
3550	0.0211	0.3341	0.0403	0.0000	0.3341	0.0903
8141	0.1220	0.0101	0.0796	0.0098	0.1296	0.0385
4170	0.0822	0.0601	0.0531	0.0000	0.1046	0.0343
4190	0.2750	0.2001	0.1418	0.0070	0.2750	0.0760
8171	0.0032	0.0318	0.0134	0.0000	0.0515	0.0173
2570	0.1337	0.2696	0.0558	0.0000	0.2696	0.0656
2800	0.0356	0.0333	0.0514	0.0002	0.1968	0.0479
2840	0.0995	0.2541	0.0941	0.0013	0.3732	0.0989
8691	0.1372	0.0471	0.0531	0.0000	0.1372	0.0506
2790	0.3731	0.2863	0.0945	0.0000	0.3731	0.1000
8701	0.0869	0.1059	0.0438	0.0000	0.1378	0.0435
8881	0.0260	0.0000	0.0116	0.0000	0.1438	0.0324
9071	0.3797	0.0000	0.1076	0.0000	0.3797	0.1148
2970	0.1260	0.0299	0.0471	0.0000	0.1927	0.0570
2980	0.2930	0.4591	0.1226	0.0000	0.4591	0.1125
