ID	ABSOLUTE_MOD	RELATIVE_MOD
7231	0.0000	0.0000
7281	0.0000	0.0000
7291	0.0000	0.0000
7471	1.0000	0.0476
7481	0.0000	0.0000
7511	2.0000	0.0408
7601	1.0000	0.0115
2310	1.0000	0.0102
2380	0.0000	0.0000
2450	0.0000	0.0000
7641	0.0000	0.0000
7681	1.0000	0.0057
2370	2.0000	0.0159
2400	0.0000	0.0000
7811	0.0000	0.0000
7951	1.0000	0.0156
2770	3.0000	0.0400
2920	0.0000	0.0000
8051	0.0000	0.0000
12761	2.0000	0.0152
12921	0.0000	0.0000
5140	0.0000	0.0000
5660	0.0000	0.0000
12941	0.0000	0.0000
5170	0.0000	0.0000
13061	0.0000	0.0000
13221	0.0000	0.0000
13241	0.0000	0.0000
13711	0.0000	0.0000
13741	0.0000	0.0000
13771	0.0000	0.0000
13891	0.0000	0.0000
13901	0.0000	0.0000
13931	0.0000	0.0000
13941	1.0000	0.0667
13971	3.0000	0.0163
14261	1.0000	0.0476
14321	1.0000	0.0294
14331	0.0000	0.0000
14451	0.0000	0.0000
14521	0.0000	0.0000
14591	0.0000	0.0000
14621	0.0000	0.0000
15951	0.0000	0.0000
6670	1.0000	0.0270
6680	0.0000	0.0000
6690	0.0000	0.0000
16131	1.0000	0.0182
16261	0.0000	0.0000
17971	0.0000	0.0000
18221	0.0000	0.0000
4301	1.0000	0.0179
4341	1.0000	0.0133
10231	1.0000	0.0078
15531	0.0000	0.0000
19961	0.0000	0.0000
20021	1.0000	0.0263
20271	3.0000	0.0612
731	1.0000	0.0127
851	0.0000	0.0000
1161	0.0000	0.0000
190	2.0000	0.0075
1190	7.0000	0.0132
1351	3.0000	0.0072
530	0.0000	0.0000
1631	0.0000	0.0000
550	1.0000	0.0108
1711	2.0000	0.0117
540	1.0000	0.0093
2121	0.0000	0.0000
710	1.0000	0.0208
3331	2.0000	0.0312
4561	2.0000	0.0074
4891	1.0000	0.0061
4951	1.0000	0.0127
6221	1.0000	0.0032
6651	1.0000	0.0058
6851	0.0000	0.0000
6861	0.0000	0.0000
10391	2.0000	0.0200
10411	2.0000	0.0098
11701	0.0000	0.0000
7211	13.0000	0.0396
7531	0.0000	0.0000
7561	0.0000	0.0000
7611	0.0000	0.0000
10461	5.0000	0.0198
12681	0.0000	0.0000
13141	0.0000	0.0000
13611	2.0000	0.0500
13641	0.0000	0.0000
5570	1.0000	0.0303
17961	1.0000	0.0263
18631	1.0000	0.0476
7370	2.0000	0.0244
18761	1.0000	0.0159
7280	1.0000	0.0147
19261	0.0000	0.0000
4231	6.0000	0.0173
4251	1.0000	0.0120
4361	0.0000	0.0000
4481	0.0000	0.0000
4551	1.0000	0.0476
4621	0.0000	0.0000
7151	0.0000	0.0000
7181	0.0000	0.0000
10051	1.0000	0.0303
10101	1.0000	0.0169
10581	2.0000	0.0256
15451	2.0000	0.0606
15491	1.0000	0.0213
15501	0.0000	0.0000
15911	1.0000	0.0068
15921	0.0000	0.0000
15961	0.0000	0.0000
15981	3.0000	0.0349
16161	1.0000	0.0204
16421	0.0000	0.0000
19951	1.0000	0.0204
20161	0.0000	0.0000
20501	0.0000	0.0000
20781	1.0000	0.0064
20821	4.0000	0.0606
21551	4.0000	0.0171
701	0.0000	0.0000
721	0.0000	0.0000
1641	0.0000	0.0000
1741	0.0000	0.0000
1821	0.0000	0.0000
1901	0.0000	0.0000
1921	0.0000	0.0000
2151	0.0000	0.0000
3931	0.0000	0.0000
4511	0.0000	0.0000
1620	0.0000	0.0000
5731	0.0000	0.0000
8461	0.0000	0.0000
10821	0.0000	0.0000
10891	0.0000	0.0000
4270	4.0000	0.0119
12321	0.0000	0.0000
